ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
SFAR_R2_7	85241	71436	68881	69409	60944	45219
SFAR_R2_8	107025	90559	88680	89061	82469	64239
SFAR_R2_9	164538	136978	136102	136184	132412	95673
SFAR_R2_10	106177	88662	85959	86654	75104	52801
SFAR_R2_11	333104	197377	194121	195205	179378	122549
SFAR_R2_12	122111	108698	108030	107921	105595	83624
SFAR_R2_13	357552	316990	310212	312566	269970	145433
SFAR_R2_14	252838	224721	221631	222383	211460	131013
SFAR_R2_15	97893	83029	82379	82098	80280	67192
SFAR_R2_16	455544	402856	394340	396653	344986	191329
SFAR_R2_17	342900	299228	293145	294583	264450	170307
SFAR_R2_18	255434	225257	219411	221332	200745	141461
SFAR_R2_19	268900	217313	215122	215489	206397	161239
SFAR_R2_20	327161	281023	277014	278429	256591	186300
SFAR_R2_21	210089	177085	174516	174897	165753	115405
SFAR_R2_22	18749	9874	9587	9544	9053	8502
SFAR_R2_23	178262	137008	134596	135008	124411	91009
SFAR_R2_24	383944	337963	331986	333649	304499	195007
SFAR_R2_25	167331	145182	144736	144563	141851	122777
SFAR_R2_26	365693	326014	321427	322234	300597	197768
SFAR_R3_1	177532	150864	150302	150255	148406	133166
SFAR_R3_2	417676	360157	357407	357796	345025	209710
SFAR_R3_3	226949	203046	202090	202046	197978	163690
SFAR_R3_4	253128	223439	221204	221293	211277	129947
SFAR_R3_5	424685	366379	364415	364262	350281	205765
SFAR_R3_6	171220	151767	149947	150143	142965	104565
SFAR_R3_7	174393	148533	145944	146559	136088	87161
SFAR_R3_8	225139	176782	175060	175126	167600	110016
SFAR_R3_9	353560	280142	278351	278170	268779	218746
SFAR_R3_10	375100	317199	314133	314269	295491	197511
SFAR_R3_11	423686	372335	369503	369800	354099	256079
SFAR_R3_12	324348	285731	283697	283469	272014	198620
SFAR_R3_13	395694	338746	335958	336064	322640	217609
SFAR_R3_14	236064	207077	206472	206224	203239	173291
SFAR_R3_15	366490	313345	309462	309604	291237	207296
SFAR_R3_16	295490	259660	257803	257707	245553	172459
SFAR_R3_17	242997	213453	211301	211243	198802	124617
SFAR_R3_18	202738	173267	169929	170064	156077	102989
SFAR_R3_20	309841	268707	267121	267385	257406	200926
SFAR_R3_21	251929	207135	205320	205417	196082	133531
SFAR_R3_19	501309	49033	48742	48669	47802	37482
SFAR_R4_1	291254	255328	253328	253262	242379	145242
SFAR_R4_2	342543	295520	284814	287520	211369	74546
SFAR_R4_3	210379	189588	188689	188648	181741	125725
SFAR_R4_4	351039	302506	301226	301053	292295	191350
SFAR_R4_5	340567	291384	290255	289560	279374	187675
SFAR_R4_6	360244	294970	293246	292809	278916	172665
SFAR_R4_7	207136	183731	181797	182015	171968	124353
SFAR_R4_8	203032	177718	176413	176251	168728	118371
SFAR_R4_9	212423	171125	169474	169929	162227	109954
SFAR_R4_10	404159	347727	344585	344396	325322	166207
SFAR_R4_11	323775	228148	215652	218839	169732	86575
SFAR_R4_28	368469	322875	321523	321201	312072	227395
SFAR_R4_26	333357	299270	298261	298276	292499	218163
SFAR_R4_14	434690	382753	380209	380502	366926	267217
SFAR_R4_15	276917	243959	231338	234267	182906	89066
SFAR_R4_16	187735	157931	156721	156711	146869	70525
SFAR_R4_17	389142	339959	338429	337885	325923	220791
SFAR_R4_18	305196	270196	268074	268136	255922	150467
SFAR_R4_19	177556	155080	152355	152336	140611	82142
SFAR_R4_20	199605	169140	167447	167287	159400	98073
SFAR_R4_21	340534	296953	295198	294852	284296	194203
SFAR_R4_22	230754	202183	198083	198655	174063	98339
SFAR_R4_23	312026	262890	258393	258851	228136	122727
SFAR_R4_24	327775	280849	278569	278392	266199	185169
SFAR_R4_25	577604	507821	505265	505100	484817	353047
SFAR_R4_30	552359	471212	468868	469470	451399	334216
PMAQ_R1_3	255508	229208	228496	228398	224027	187005
PMAQ_R1_4	355407	317724	317054	316878	312450	262610
PMAQ_R1_6	353120	309049	302165	303695	260088	125111
PMAQ_R1_8	158903	143641	143092	142995	139664	113225
PMAQ_R1_9	180063	159026	158383	158377	155330	130421
PMAQ_R1_10	140820	121030	120444	120243	117389	97290
PMAQ_R1_12	228117	192900	192505	192483	190506	165700
PMAQ_R1_14	396951	343436	341880	342363	336939	274388
PMAQ_R1_15	184096	151764	150933	150578	145967	112531
PMAQ_R1_16	165629	143384	142740	142735	139319	103325
PMAQ_R1_17	353741	323610	322604	322456	313406	244532
PMAQ_R1_20	361062	306479	305210	305063	296357	211850
PMAQ_R1_26	192063	173442	172878	172907	170523	137304
PMAQ_R1_27	235438	212751	211968	211833	206516	146123
PMAQ_R1_30	132692	120287	119539	119468	115615	83268
PMAQ_R2_2	148104	129845	129163	129097	125833	97949
PMAQ_R2_3	155033	137707	136691	136574	132641	95539
PMAQ_R2_4	359336	283622	282418	282405	275566	216242
PMAQ_R2_5	324917	275694	274174	274626	268799	194138
PMAQ_R2_6	367346	323883	322168	322696	315984	245233
PMAQ_R2_7	210026	168265	167494	167446	164124	130304
PMAQ_R2_10	148491	132617	131547	131464	127177	97959
PMAQ_R2_11	204395	184280	183528	183427	180020	154370
PMAQ_R2_12	124878	110005	108951	108733	105458	81837
PMAQ_R2_13	175195	154233	153601	153728	151259	126736
PMAQ_R2_14	254319	227678	226591	226478	219992	166061
PMAQ_R2_15	256711	222810	221751	222007	217441	158129
